Location,Geophyte,Graminoid,Hemiparasite,Carnivore,Legume,Succulent,Therophyte
 Ahupe,12,1254,1,0,0,0,2003
 Ambolgad,0,5564,24,0,997,0,269
 Borbet,458,1992,9,323,1595,0,8300
 Chalkewadi,289,4609,0,52,272,121,1801
 Devsada,0,2147,152,2008,15,0,2580
 Dhamapur,4,350,93,262,995,0,3531
 Ganeshgule,0,2446,79,631,246,0,3484
 Ghatghar,0,1693,5,15,195,0,4335
 Hatvij,23,3167,158,473,75,4,4705
 Kelus,0,3879,168,104,295,0,1618
 Khamda,76,3243,5,117,5,69,2116
 Kondhwal,0,1717,23,502,0,0,8220
 Korigad ,408,3014,209,222,470,9,12441
 Lolieum,0,7393,24,1798,168,0,6338
 Maan,15,5410,3,115,0,0,2888
 Male,0,2962,20,831,128,0,1803
 Manjare,0,2745,30,398,2201,4,2910
 Masai,64,1519,30,53,113,77,4128
 Mhavashi,85,8649,5,139,101,4,4033
 Naneghat,0,3637,1,101,55,0,3203
 Nayane,0,1340,17,282,106,0,1573
 Padel ,0,622,16,113,178,0,4250
 Patta,53,351,0,16,64,216,1309
 Phanaskolwadi,0,1676,136,1085,87,0,2548
 Rivona,1,2994,9,283,522,0,2549
 Sadamirya,0,4695,95,3,589,0,3267
 Sukondi,0,1372,15,233,99,0,3459
 Surla,0,6585,9,279,36,0,1828
Mahabaleshwar,67,5635,0,407,171,407,4021
 Zenda,0,3552,4,998,4,193,5893
