Location,Graminoid,Therophyte,Legume,Carnivore,Geophyte,Hemiparasite,Succulent
Ahupe,8,8,0,0,2,4,0
Ambolgad,5,6,7,0,0,3,0
Borbet,12,8,1,2,3,4,0
Chalkewadi,10,7,2,2,2,4,1
Devsada,9,7,1,4,0,3,0
Dhamapur,9,9,1,2,1,4,0
Ganeshgule,8,6,1,4,0,3,0
Ghatghar,14,12,3,1,0,3,0
Hatvij,11,12,2,3,1,4,1
Kelus,9,6,1,2,0,3,0
Khamda,7,9,1,2,3,4,1
Kondhwal,12,13,0,3,0,3,0
Korigad ,13,12,2,2,1,4,1
Lolieum,11,5,1,4,0,3,0
Maan,11,11,0,1,1,4,0
Mahabaleshwar,13,11,1,2,2,4,1
Male,8,5,1,3,0,3,0
Manjare,12,8,4,1,0,3,1
Masai,11,16,4,3,2,4,1
Mhavashi,17,11,2,3,2,4,1
Naneghat,11,24,1,2,0,3,0
Nayane,7,5,1,3,0,3,0
Padel ,7,7,1,2,0,3,0
Patta,7,8,2,1,2,4,1
Phanaskolwadi,6,5,2,3,0,3,0
Rivona,11,12,6,3,1,4,0
Sadamirya,9,6,2,1,0,3,0
Sukondi,9,8,1,3,0,3,0
Surla,14,8,1,2,0,3,0
Zenda,10,8,1,2,0,3,1
