Location,Latitude,Altitude,TempAnnRang,AnnPreci,MnDiurRng,PreciWettestQuar,AnnMnTemp,TempSeas,Nitrogen,Carbon,DistSea
Ahupe,19.16853,1092,200,3284,88,3131,212,2041,0.113,3.869,59573
Ambolgad,16.639791,35,130,3685,58,3533,277,1321,0,0,194
Borbet,16.514732,976,176,4412,81,4173,224,1580,0.539,8.635,56693
Chalkewadi,17.58297,1158,198,2808,89,2657,210,1891,0.109,5.023,68200
Devsada,15.37328,119,138,3162,63,2934,273,1343,0.858,13.66,24700
Dhamapur,16.032294,90,118,3089,53,3076,274,1203,0.365,7.065,10540
Ganeshgule,16.86302,75,138,3937,61,3781,273,1395,0.882,11.053,2813
Ghatghar,19.552484,770,213,2813,92,2651,231,2224,0,2.967,90760
Hatvij,19.19283,1133,212,1868,94,1674,210,2164,0.002,1.513,75184
Kelus,15.93217,86,111,3476,50,3435,273,1152,0.407,11.185,3040
Khamdadev,15.88019,852,151,4050,70,4031,228,1351,0.294,5.564,40600
Kondhawal,19.12478,889,205,2519,89,2364,227,2091,0.156,3.689,61583
Korigad,18.61804,920,178,4223,78,4095,226,1807,0.23,6.102,49474
Lolieum,14.93866,48,108,3757,49,3521,274,1124,0.881,11.511,1020
Maan,15.68136,816,154,3402,72,3217,232,1379,0.281,6.537,47140
Mahabaleshwar,17.92107,1428,193,3563,87,3333,194,1828,0.158,6.231,61580
Male,17.64127,138,137,4282,59,4086,268,1463,0.366,9.228,4808
Manjare,19.45599,156,212,2023,90,1906,267,2260,0.285,4.902,84818
Masai,16.816351,965,197,2201,89,2011,228,1843,0.208,5.986,81203
Mhavashi,17.41463,1077,203,1987,91,1863,218,1951,0.073,3.586,77690
Naneghat,19.27554,777,217,1909,94,1732,232,2247,0,3.166,79656
Nayane,17.95268,218,138,4155,59,4026,263,1498,0.257,5.288,10585
Padel,16.49329,48,132,4048,59,3888,274,1321,0.708,10.42,1730
Patta,19.70179,1255,222,1840,98,1566,207,2349,0.076,2.547,115947
Phanaskolwadi,15.81184,140,116,3702,53,3605,269,1178,0.914,8.964,7712
Rivona,15.14264,54,129,3103,59,2902,274,1274,0.381,8.936,19246
Sadamirya,17.03295,88,135,3826,59,3660,272,1392,0.769,10.321,440
Sukondi,17.86244,183,134,4242,57,4026,265,1459,0.175,7.516,4868
Surla,15.66561,820,154,3361,72,3290,233,1378,0.017,7.246,46393
Zenda,16.926419,1015,186,3806,85,3557,219,1706,0.242,6.579,56063
